t,Ws,Wz,
33.6,9.3109870902962,9.3109870902962,
33.7,9.3109874776524,9.3109874776524,
33.8,9.3109878154051,9.3109878154051,
33.9,9.310987970017,9.310987970017,
34.,9.3109879065687,9.3109879065687,
34.1,9.3109876782625,9.3109876782625,
34.2,9.3109873869752,9.3109873869752,
34.3,9.3109871355535,9.3109871355535,
34.4,9.3109869907405,9.3109869907405,
34.5,9.3109869674954,9.3109869674954,
34.6,9.3109870353828,9.3109870353828,
34.7,9.3109871396842,9.3109871396842,
34.8,9.3109872263328,9.3109872263328,
34.9,9.3109872609073,9.3109872609073,
35.,9.3109872362803,9.3109872362803,
35.1,9.3109871688,9.3109871688,
35.2,9.3109870869951,9.3109870869951,
35.3,9.3109870185416,9.3109870185416,
35.4,9.3109869805337,9.3109869805337,
35.5,9.3109869757641,9.3109869757641,
35.6,9.3109869949597,9.3109869949597,
35.7,9.3109870228086,9.3109870228086,
35.8,9.3109870447598,9.3109870447598,
35.9,9.3109870519959,9.3109870519959,
36.,9.3109870432258,9.3109870432258,
36.1,9.3109870233887,9.3109870233887,
36.2,9.3109870004386,9.3109870004386,
36.3,9.3109869817961,9.3109869817961,
36.4,9.3109869718067,9.3109869718067,
36.5,9.3109869708808,9.3109869708808,
36.6,9.3109869762345,9.3109869762345,
36.7,9.3109869836,9.3109869836,
36.8,9.3109869890743,9.3109869890743,
36.9,9.3109869904145,9.3109869904145,
37.,9.3109869874456,9.3109869874456,
