t,c,w,R,Rate_c,Rate_w,
24.9,1.,-1.179175051665e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4775093084774e+029,
25.,1.,-1.1792332157486e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774947674565e+029,
25.1,1.,-1.1792899437559e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774805854547e+029,
25.2,1.,-1.1793452711436e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774667536078e+029,
25.3,1.,-1.1793992324934e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774532632704e+029,
25.4,1.,-1.1794518615326e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774401060105e+029,
25.5,1.,-1.1795031911562e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774272736046e+029,
25.6,1.,-1.1795532534469e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477414758032e+029,
25.7,1.,-1.1796020796953e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4774025514699e+029,
25.8,1.,-1.1796497004193e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773906462889e+029,
25.9,1.,-1.1796961453834e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773790350478e+029,
26.,1.,-1.1797414436173e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773677104894e+029,
26.1,1.,-1.1797856234337e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773566655353e+029,
26.2,1.,-1.1798287124467e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477345893282e+029,
26.3,1.,-1.1798707375881e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773353869967e+029,
26.4,1.,-1.1799117251251e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773251401124e+029,
26.5,1.,-1.1799517006762e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773151462246e+029,
26.6,1.,-1.1799906892274e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4773053990868e+029,
26.7,1.,-1.1800287151478e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772958926067e+029,
26.8,1.,-1.1800658022049e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772866208425e+029,
26.9,1.,-1.1801019735794e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772775779988e+029,
27.,1.,-1.1801372518794e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772687584238e+029,
27.1,1.,-1.180171659155e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772601566049e+029,
27.2,1.,-1.1802052169121e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772517671657e+029,
27.3,1.,-1.1802379461251e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772435848624e+029,
27.4,1.,-1.180269867251e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772356045809e+029,
27.5,1.,-1.1803010002415e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772278213333e+029,
27.6,1.,-1.1803313645557e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772202302548e+029,
27.7,1.,-1.1803609791723e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772128266006e+029,
27.8,1.,-1.1803898626014e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4772056057433e+029,
27.9,1.,-1.1804180328962e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771985631696e+029,
28.,1.,-1.1804455076638e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771916944777e+029,
28.1,1.,-1.1804723040771e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771849953744e+029,
28.2,1.,-1.1804984388845e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771784616726e+029,
28.3,1.,-1.1805239284213e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771720892884e+029,
28.4,1.,-1.1805487886191e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771658742389e+029,
28.5,1.,-1.1805730350165e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771598126396e+029,
28.6,1.,-1.1805966827682e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771539007016e+029,
28.7,1.,-1.1806197466548e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.47714813473e+029,
28.8,1.,-1.180642241092e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771425111207e+029,
28.9,1.,-1.1806641801396e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771370263588e+029,
29.,1.,-1.1806855775102e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771316770161e+029,
29.1,1.,-1.1807064465778e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771264597492e+029,
29.2,1.,-1.1807268003863e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771213712971e+029,
29.3,1.,-1.1807466516575e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771164084793e+029,
29.4,1.,-1.180766012799e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771115681939e+029,
29.5,1.,-1.1807848959123e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771068474156e+029,
29.6,1.,-1.1808033127998e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4771022431937e+029,
29.7,1.,-1.1808212749728e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770977526505e+029,
29.8,1.,-1.1808387936581e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770933729792e+029,
29.9,1.,-1.1808558798055e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770891014423e+029,
30.,1.,-1.1808725440945e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770849353701e+029,
30.1,1.,-1.1808887969407e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770808721585e+029,
30.2,1.,-1.1809046485027e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477076909268e+029,
30.3,1.,-1.1809201086883e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770730442216e+029,
30.4,1.,-1.1809351871604e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770692746036e+029,
30.5,1.,-1.1809498933438e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770655980577e+029,
30.6,1.,-1.1809642364303e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770620122861e+029,
30.7,1.,-1.1809782253846e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770585150475e+029,
30.8,1.,-1.1809918689505e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770551041561e+029,
30.9,1.,-1.1810051756555e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770517774798e+029,
31.,1.,-1.1810181538168e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770485329395e+029,
31.1,1.,-1.1810308115461e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770453685072e+029,
31.2,1.,-1.181043156755e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770422822049e+029,
31.3,1.,-1.1810551971596e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770392721038e+029,
31.4,1.,-1.1810669402856e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770363363223e+029,
31.5,1.,-1.1810783934727e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770334730255e+029,
31.6,1.,-1.1810895638797e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770306804238e+029,
31.7,1.,-1.1811004584883e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770279567716e+029,
31.8,1.,-1.1811110841081e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770253003667e+029,
31.9,1.,-1.1811214473804e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770227095486e+029,
32.,1.,-1.1811315547825e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770201826981e+029,
32.1,1.,-1.1811414126321e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770177182357e+029,
32.2,1.,-1.1811510270904e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770153146211e+029,
32.3,1.,-1.181160404167e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477012970352e+029,
32.4,1.,-1.1811695497226e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477010683963e+029,
32.5,1.,-1.1811784694738e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770084540252e+029,
32.6,1.,-1.1811871689954e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770062791448e+029,
32.7,1.,-1.1811956537252e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770041579624e+029,
32.8,1.,-1.1812039289661e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4770020891522e+029,
32.9,1.,-1.1812119998907e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.477000071421e+029,
33.,1.,-1.1812198715434e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769981035078e+029,
33.1,1.,-1.1812275488444e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769961841826e+029,
33.2,1.,-1.1812350365921e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769943122457e+029,
33.3,1.,-1.1812423394666e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.476992486527e+029,
33.4,1.,-1.1812494620326e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769907058856e+029,
33.5,1.,-1.1812564087417e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769889692083e+029,
33.6,1.,-1.181263183936e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769872754097e+029,
33.7,1.,-1.1812697918501e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769856234312e+029,
33.8,1.,-1.1812762366143e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769840122401e+029,
33.9,1.,-1.1812825222567e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769824408295e+029,
34.,1.,-1.181288652706e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769809082172e+029,
34.1,1.,-1.181294631794e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769794134452e+029,
34.2,1.,-1.1813004632577e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769779555793e+029,
34.3,1.,-1.1813061507422e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769765337081e+029,
34.4,1.,-1.1813116978021e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769751469432e+029,
34.5,1.,-1.1813171079046e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769737944175e+029,
34.6,1.,-1.1813223844312e+029,-1.8084649863757e+024,1.8084649866514e+024,-1.4769724752859e+029,
