t,XA0,XB0,XC0,XD0,XE0,XA8,XB8,XC8,XD8,XE8,
62.,0.80710949740401,0.18143212593545,9.4733953240925e-003,4.0329868164702e-005,1.944629161705e-003,0.15906445362948,0.19238939180276,0.19962781408134,0.19999844151878,0.24891989874312,
63.,0.8064579896574,0.18221431404233,9.5288023509149e-003,4.0576535816392e-005,1.7582972441958e-003,0.15828682925605,0.19221414020484,0.19961865637477,0.19999840252762,0.2498819714326,
64.,0.80578892975833,0.18299622389706,9.5841862536413e-003,4.082282492755e-005,1.5898190291642e-003,0.15750909176619,0.19203796507002,0.19960943639232,0.19999836326107,0.25084514332475,
65.,0.8051033455742,0.1837784887869,9.6395963108838e-003,4.1068966907516e-005,1.4374838715503e-003,0.15673125738586,0.19186086457309,0.19960015401197,0.19999832371884,0.2518094001413,
66.,0.80440215413789,0.18456169212683,9.6950786192761e-003,4.1315178997785e-005,1.2997450273539e-003,0.15595334144904,0.19168283629588,0.19959080906525,0.19999828390044,0.25277472913557,
67.,0.80368617266792,0.18534637189965,9.7506763357522e-003,4.1561665275083e-005,1.1752039502785e-003,0.15517535849604,0.19150387727104,0.19958140134007,0.19999824380516,0.25374111894755,
68.,0.80295612846474,0.18613302473052,9.8064299048196e-003,4.1808617599673e-005,1.0625960928635e-003,0.15439732236226,0.1913239840219,0.19957193058323,0.19999820343211,0.25470855947274,
69.,0.80221266779969,0.18692210962283,9.8623772714489e-003,4.2056216510369e-005,9.6077806797202e-004,0.15361924625824,0.19114315259873,0.19956239650284,0.19999816278021,0.25567704174342,
70.,0.80145636390077,0.1877140513811,9.9185540802247e-003,4.2304632067914e-005,8.687160403065e-004,0.15284114284188,0.19096137861178,0.19955279877045,0.19999812184821,0.25664655782125,
71.,0.80068772412829,0.18850924374483,9.9749938614209e-003,4.2554024648594e-005,7.8547523011349e-004,0.15206302428374,0.19077865726121,0.19954313702308,0.19999808063469,0.25761710070003,
72.,0.79990719642384,0.18930805225593,1.0031728204667e-002,4.280454569006e-005,7.1021042252269e-004,0.15128490232598,0.19059498336427,0.19953341086505,0.19999803913808,0.25858866421768,
73.,0.79911517510701,0.19011081688082,1.0088786920873e-002,4.305633839141e-005,6.421573861769e-004,0.15050678833562,0.19041035137999,0.19952361986964,0.19999799735665,0.25956124297665,
74.,0.79831200608671,0.19091785440693,1.0146198193067e-002,4.3309538369648e-005,5.8062511403722e-004,0.14972869335279,0.19022475543149,0.19951376358068,0.19999795528856,0.26053483227183,
75.,0.79749799154675,0.1917294606319,1.0203988716799e-002,4.3564274274637e-005,5.2498880759429e-004,0.14895062813426,0.19003818932621,0.19950384151389,0.1999979129318,0.26150942802532,
76.,0.79667339415938,0.19254591236266,1.0262183830719e-002,4.3820668364685e-005,4.7468353326183e-004,0.14817260319299,0.18985064657415,0.1994938531582,0.19999787028426,0.26248502672744,
77.,0.79583844087463,0.19336746923995,1.0320807637967e-002,4.407883704485e-005,4.2919848655303e-004,0.14739462883386,0.18966212040437,0.1994837979769,0.19999782734368,0.26346162538326,
